#  Energy (eV) |  DOS (states/eV)
  -51.26444101    0.0000000000
  -51.22587143    0.0000000000
  -51.18730185    0.0000000000
  -51.14873227    0.0000000000
  -51.11016270    0.0000000000
  -51.07159312    0.0000000000
  -51.03302354    0.0000000000
  -50.99445396    0.0000000000
  -50.95588438    0.0000000000
  -50.91731481    0.0000000000
  -50.87874523    0.0000000000
  -50.84017565    0.0000000000
  -50.80160607    0.0000000000
  -50.76303649    0.0000000000
  -50.72446692    0.0000000000
  -50.68589734    0.0000000000
  -50.64732776    0.0000000000
  -50.60875818    0.0000000000
  -50.57018860    0.0000000000
  -50.53161902    0.0000000000
  -50.49304945    0.0000000000
  -50.45447987    0.0000000000
  -50.41591029    0.0000000000
  -50.37734071    0.0000000000
  -50.33877113    0.0000000000
  -50.30020156    0.0000000000
  -50.26163198    0.0000000000
  -50.22306240    0.0000000000
  -50.18449282    0.0000000000
  -50.14592324    0.0000000000
  -50.10735367    0.0000000000
  -50.06878409    0.0000000000
  -50.03021451    0.0000000000
  -49.99164493    0.0000000000
  -49.95307535    0.0000000000
  -49.91450578    0.0000000000
  -49.87593620    0.0000000000
  -49.83736662    0.0000000000
  -49.79879704    0.0000000000
  -49.76022746    0.0000000000
  -49.72165789    0.0000000000
  -49.68308831    0.0000000000
  -49.64451873    0.0000000000
  -49.60594915    0.0000000000
  -49.56737957    0.0000000000
  -49.52880999    0.0000000000
  -49.49024042    0.0000000000
  -49.45167084    0.0000000000
  -49.41310126    0.0000000000
  -49.37453168    0.0000000000
  -49.33596210    0.0000000000
  -49.29739253    0.0000000000
  -49.25882295    0.0000000000
  -49.22025337    0.0000000000
  -49.18168379    0.0000000000
  -49.14311421    0.0000000000
  -49.10454464    0.0000000000
  -49.06597506    0.0000000000
  -49.02740548    0.0000000000
  -48.98883590    0.0000000000
  -48.95026632    0.0000000000
  -48.91169675    0.0000000000
  -48.87312717    0.0000000000
  -48.83455759    0.0000000008
  -48.79598801    0.0000000157
  -48.75741843    0.0000002471
  -48.71884886    0.0000031772
  -48.68027928    0.0000334302
  -48.64170970    0.0002882507
  -48.60314012    0.0020407506
  -48.56457054    0.0118928178
  -48.52600096    0.0572321223
  -48.48743139    0.2283593543
  -48.44886181    0.7594129584
  -48.41029223    2.1190481104
  -48.37172265    5.0059184344
  -48.33315307   10.1346544665
  -48.29458350   17.8870522070
  -48.25601392   28.1776738802
  -48.21744434   40.8068935317
  -48.17887476   55.9595207186
  -48.14030518   74.0348710701
  -48.10173561   94.5846380496
  -48.06316603  115.3666255291
  -48.02459645  132.6965020902
  -47.98602687  142.9727982509
  -47.94745729  144.2541920513
  -47.90888772  137.0653452386
  -47.87031814  124.0311512452
